ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME
USC00417300,31.9633,-98.4942,372.2,TX,PROCTOR RSVR
USC00417327,32.3664,-99.1925,494.1,TX,PUTNAM
USC00417458,26.4644,-97.7847,9.4,TX,RAYMONDVILLE
USC00417588,32.9964,-96.7428,206.7,TX,RICHARDSON
USC00417622,26.3769,-98.8117,52.4,TX,RIO GRANDE CITY
USC00417704,28.0183,-97.0567,3.0,TX,ROCKPORT
USC00417706,30.0239,-100.2119,726.0,TX,ROCKSPRINGS
USC00417743,32.4481,-100.5264,725.4,TX,ROSCOE
USC00417782,32.8556,-100.4611,608.1,TX,ROTAN
USC00417841,31.8092,-95.1428,211.8,TX,RUSK
USC00417936,31.0619,-94.1011,57.6,TX,SAM RAYBURN DAM
USC00417944,31.3708,-100.4944,576.1,TX,SAN ANGELO WFO
USC00417951,31.5192,-94.1186,89.9,TX,SAN AUGUSTINE
USC00417983,29.8833,-97.9494,202.7,TX,SAN MARCOS
USC00418040,35.7047,-101.5492,894.9,TX,SANFORD DAM
USC00418059,26.2656,-97.8714,15.2,TX,SANTA ROSA 3 WNW
USC00418201,32.7131,-102.6597,1016.8,TX,SEMINOLE
USC00418274,33.7033,-96.6419,231.6,TX,SHERMAN
USC00418323,34.4733,-101.3022,998.2,TX,SILVERTON
USC00418415,30.0092,-97.1644,96.6,TX,SMITHVILLE
USC00418433,32.71,-100.9111,706.8,TX,SNYDER
USC00418446,30.3367,-96.5403,80.2,TX,SOMERVILLE DAM
USC00418449,30.5508,-100.6519,643.7,TX,SONORA
USC00418487,26.1375,-97.1742,1.5,TX,S PADRE IS
USC00418566,33.4792,-100.8761,700.1,TX,SPUR
USC00418583,32.9403,-99.8036,491.3,TX,STAMFORD 1
USC00418728,29.6197,-95.6575,23.5,TX,SUGAR LAND
USC00418743,33.1481,-95.6269,150.9,TX,SULPHUR SPRINGS
USC00418818,33.17,-101.81,948.5,TX,TAHOKA
USC00418942,33.4367,-94.0772,118.9,TX,TEXARKANA
USC00418996,29.4822,-95.6314,21.3,TX,THOMPSONS 3 WSW
USC00419088,31.4019,-106.0569,1088.1,TX,TORNILLO 2 SSE
USC00419101,30.7931,-94.1819,66.8,TX,TOWN BLUFF DAM
USC00419163,33.7569,-99.8619,478.8,TX,TRUSCOTT 3 W
USC00419175,34.5583,-101.7239,1051.6,TX,TULIA
USC00419191,34.3961,-100.8967,716.9,TX,TURKEY
USC00419207,32.3008,-95.3103,154.8,TX,TYLER
USC00419270,30.5939,-104.4928,1355.4,TX,VALENTINE
USC00419295,31.0417,-104.8372,1239.0,TX,VAN HORN
USC00419417,31.6003,-97.2169,150.9,TX,WACO DAM
USC00419491,30.3236,-96.1594,65.5,TX,WASHINGTON SP
USC00419499,31.6725,-100.7283,644.7,TX,WATER VALLEY
USC00419532,32.7478,-97.7703,293.2,TX,WEATHERFORD
USC00419559,28.1136,-97.4178,15.2,TX,WELDER WILDLIFE FOUNDATION
USC00419588,26.1781,-97.9708,22.9,TX,WESLACO
USC00419715,31.8611,-97.375,175.0,TX,WHITNEY DAM
USC00419800,32.7019,-96.015,158.5,TX,WILLS PT
USC00419847,32.0444,-100.1078,613.3,TX,WINGATE
USC00419916,33.3039,-94.1583,86.0,TX,WRIGHT PATMAN DM & LK
USC00419952,29.2739,-97.1556,89.9,TX,YOAKUM
USW00003818,30.8369,-85.1836,32.6,FL,MARIANNA MUNI AP
USW00003850,31.2667,-85.7167,91.1,AL,CAIRNS FLD FT RUCKER
USW00003853,30.4,-81.4167,4.9,FL,MAYPORT PILOT STN
USW00003855,30.35,-87.3167,8.5,FL,PENSACOLA FOREST SHERMAN NAS
USW00003856,34.6442,-86.7861,189.9,AL,HUNTSVILLE INTNL AP
USW00003866,32.55,-88.5667,82.6,MS,MERIDIAN NAAS
USW00003902,31.0667,-97.8333,309.4,TX,ROBERT GRAY AAF
USW00003904,30.5911,-96.3631,96.0,TX,COLLEGE STN EASTERWOOD FLD
USW00003927,32.8975,-97.0219,165.8,TX,DAL-FTW WSCMO AP
USW00003933,31.1333,-97.7167,281.6,TX,FT HOOD
USW00003937,30.1253,-93.2158,41.8,LA,LAKE CHARLES
USW00003940,32.3197,-90.0778,90.2,MS,JACKSON INTL AP
USW00003951,32.35,-94.65,124.1,TX,LONGVIEW WSMO
USW00003969,32.2153,-98.1775,402.6,TX,STEPHENVILLE CLARK FLD
USW00012815,28.4183,-81.3242,27.1,FL,ORLANDO INTL AP
USW00012816,29.6917,-82.2761,40.5,FL,GAINESVILLE RGNL AP
USW00012833,29.6333,-83.1053,11.6,FL,CROSS CITY AP
USW00012834,29.1736,-81.0719,7.9,FL,DAYTONA BEACH INTL AP
USW00012835,26.585,-81.8614,4.0,FL,FT MYERS PAGE FLD AP
USW00012836,24.5569,-81.7553,0.3,FL,KEY W INTL AP
USW00012839,25.7881,-80.3169,1.5,FL,MIAMI INTL AP
USW00012841,28.5467,-81.3356,31.7,FL,ORLANDO EXECUTIVE AP
USW00012842,27.9633,-82.54,1.8,FL,TAMPA INTL AP
USW00012843,27.6553,-80.4142,5.8,FL,VERO BEACH INTL AP
USW00012844,26.685,-80.0992,3.7,FL,W PALM BEACH INTL AP
USW00012849,26.0789,-80.1622,0.9,FL,FT LAUDERDALE INTL AP
USW00012850,24.5833,-81.6833,1.8,FL,KEY WEST NAS
USW00012854,28.7794,-81.2436,14.9,FL,ORLANDO SANFORD AP
USW00012883,28.0,-82.05,45.1,FL,LAKELAND LINDER RGNL AP
USW00012904,26.2303,-97.6556,9.4,TX,HARLINGEN RIO GRANDE VLY INTL
USW00012907,27.5333,-99.4667,150.6,TX,LAREDO INTL AP
USW00012909,29.3833,-98.5833,207.9,TX,SAN ANTONIO KELLY AFB
USW00012911,29.5325,-98.2622,221.9,TX,RANDOLPH AFB
USW00012912,28.8625,-96.93,33.8,TX,VICTORIA RGNL AP
USW00012916,29.9975,-90.2778,-0.9,LA,NEW ORLEANS AP
USW00012917,29.9519,-94.0261,4.0,TX,PORT ARTHUR SE TX RGNL AP
USW00012918,29.6458,-95.2822,13.1,TX,HOUSTON WILLIAM P HOBBY AP
USW00012919,25.9161,-97.4189,26.8,TX,BROWNSVILLE
USW00012921,29.5442,-98.4839,243.5,TX,SAN ANTONIO INTL AP
USW00012923,29.2703,-94.8642,1.5,TX,GALVESTON SCHOLES FLD
USW00012924,27.7839,-97.5114,43.3,TX,CORPUS CHRISTI
USW00012926,27.6878,-97.2917,4.6,TX,CORPUS CHRISTI NAS
USW00012928,27.5089,-97.8042,13.4,TX,KINGSVILLE NAAS
USW00012930,29.9167,-90.1303,6.1,LA,NEW ORLEANS AUDUBON
USW00012932,27.7414,-98.025,51.8,TX,ALICE INTL AP
USW00012935,28.7247,-96.2536,3.0,TX,PALACIOS MUNI AP
USW00012946,27.7,-97.4333,9.1,TX,CORPUS CHRISTI CABANISS FLD
USW00012947,28.4586,-99.2228,143.9,TX,COTULLA LA SALLE CO AP
USW00012959,26.1792,-98.2444,30.2,TX,MCALLEN MILLER INTL AP
USW00012960,29.9844,-95.3608,27.4,TX,HOUSTON INTERCONTINENTAL AP
USW00012962,29.36,-99.1742,281.0,TX,HONDO MUNI AP
USW00013838,30.6147,-88.0631,4.9,AL,MOBILE DWTN AP
USW00013839,31.3178,-85.4433,112.2,AL,DOTHAN RGNL AP
USW00013865,32.3347,-88.7508,88.1,MS,MERIDIAN KEY FLD
USW00013871,33.5906,-85.8478,182.0,AL,ANNISTON METRO AP
USW00013876,33.5656,-86.745,187.8,AL,BIRMINGHAM AP
USW00013884,30.7772,-86.5194,46.9,FL,CRESTVIEW FAA/AP
USW00013889,30.4847,-81.7019,48.8,FL,JACKSONVILLE
USW00013894,30.6794,-88.24,88.1,AL,MOBILE
USW00013895,32.2997,-86.4075,66.1,AL,MONTGOMERY AP
USW00013896,34.7439,-87.5997,165.8,AL,MUSCLE SHOALS AP
USW00013899,30.4761,-87.1858,36.0,FL,PENSACOLA RGNL AP
USW00013904,30.1831,-97.68,146.6,TX,AUSTIN BERGSTROM INTL AP
USW00013911,32.7667,-97.45,185.3,TX,FT WORTH NAS
USW00013935,31.3964,-92.2828,26.8,LA,ALEXANDRIA ESLER FLD
USW00013939,33.4939,-90.9806,37.8,MS,GREENVILLE ASOS
USW00013942,32.5156,-92.03,22.3,LA,MONROE RGNL AP
USW00013957,32.4508,-93.8414,118.0,LA,SHREVEPORT
USW00013958,30.3208,-97.7603,204.2,TX,AUSTIN-CAMP MABRY
USW00013959,31.6181,-97.2283,151.8,TX,WACO RGNL AP
USW00013960,32.8383,-96.8358,147.5,TX,DALLAS FAA AP
USW00013961,32.8247,-97.3642,213.7,TX,FT WORTH MEACHAM FLD
USW00013962,32.4106,-99.6819,544.7,TX,ABILENE RGNL AP
USW00013966,33.9786,-98.493,308.8,TX,WICHITA FALLS MUNI AP
USW00013970,30.5378,-91.1469,20.4,LA,BATON ROUGE METRO AP
USW00013972,32.3586,-95.4039,159.4,TX,TYLER POUNDS FLD
USW00013973,30.5106,-99.7664,521.5,TX,JUNCTION KIMBLE CO AP
USW00013976,30.1986,-91.9894,10.7,LA,LAFAYETTE RGNL AP
USW00013978,33.4961,-90.0894,42.7,MS,GREENWOOD LEFLORE AP
USW00022001,29.3667,-100.7833,329.8,TX,DEL RIO LAUGHLIN AFB
USW00022010,29.3783,-100.9269,305.7,TX,DEL RIO INTL AP
USW00023007,34.4275,-100.2839,594.1,TX,CHILDRESS MUNI AP
USW00023023,31.9433,-102.1892,902.8,TX,MIDLAND ODESSA
USW00023034,31.3714,-100.4925,610.8,TX,SAN ANGELO
USW00023040,31.78,-103.2017,858.3,TX,WINK FAA AP
USW00023041,32.2442,-101.4536,765.0,TX,BIG SPRING
USW00023042,33.6542,-101.8142,1029.6,TX,LUBBOCK
USW00023044,31.8122,-106.3775,1202.1,TX,EL PASO INTL AP
USW00023047,35.2333,-101.7092,1128.7,TX,AMARILLO
USW00023055,31.8328,-104.8089,1655.1,TX,PINE SPGS GUADALUPE MOUNTAINS
USW00053864,33.1783,-86.7817,172.5,AL,ALABASTER SHELBY CO AP ASOS
USW00053865,30.3436,-89.8225,7.6,LA,SLIDELL AP
USW00053917,30.0494,-90.0289,0.9,LA,NEW ORLEANS LAKEFRONT AP
USW00092811,25.8064,-80.1333,2.4,FL,MIAMI BEACH
USW00093042,36.0253,-102.5489,1215.5,TX,DALHART FAA AP
USW00093805,30.3975,-84.3289,53.9,FL,TALLAHASSEE
USW00093806,33.2122,-87.6156,45.1,AL,TUSCALOOSA AP ASOS
USW00093837,30.2333,-81.6667,6.1,FL,JACKSONVILLE NAS
USW00093841,30.7167,-87.0167,60.7,FL,WHITING FLD NAS
USW00093862,34.2622,-88.7714,103.6,MS,TUPELO RGNL AP
USW00093904,32.8167,-97.35,214.9,TX,FT WORTH MEACHAM FLD NAAF
USW00093914,31.7831,-95.6039,141.7,TX,PALESTINE 2 NE
USW00093915,31.3347,-92.5586,25.0,LA,ALEXANDRIA INTL AP
USW00093919,31.1822,-90.4719,123.4,MS,MCCOMB AP
USW00093985,32.7817,-98.0603,287.1,TX,MINERAL WELLS AP
USW00093987,31.2358,-94.7547,87.2,TX,LUFKIN ANGELINA CO AP
